timestamp,medianEnergy,RunPeriod
1.5413e+09,2.9816e-06,21/10/2018
1.5413e+09,2.7851e-06,21/10/2018
1.5413e+09,2.8074e-06,21/10/2018
1.5413e+09,3.13e-06,21/10/2018
1.5413e+09,2.9226e-06,21/10/2018
1.5413e+09,2.5938e-06,21/10/2018
1.5413e+09,2.931e-06,21/10/2018
1.5413e+09,2.9191e-06,21/10/2018
1.5413e+09,2.91e-06,21/10/2018
1.5413e+09,2.7929e-06,21/10/2018
1.5413e+09,2.808e-06,21/10/2018
1.5413e+09,3.0309e-06,21/10/2018
1.5413e+09,2.9206e-06,21/10/2018
1.5413e+09,3.0059e-06,21/10/2018
1.5413e+09,3.0231e-06,21/10/2018
1.5413e+09,2.7969e-06,21/10/2018
1.5413e+09,2.8823e-06,21/10/2018
1.5413e+09,2.7857e-06,21/10/2018
1.5413e+09,2.6323e-06,21/10/2018
1.5413e+09,2.6027e-06,21/10/2018
1.5413e+09,2.6098e-06,21/10/2018
1.5414e+09,2.7695e-06,21/10/2018
1.5414e+09,2.6314e-06,21/10/2018
1.5414e+09,2.8636e-06,21/10/2018
1.5414e+09,2.8864e-06,21/10/2018
1.5414e+09,2.6341e-06,21/10/2018
1.5414e+09,2.812e-06,21/10/2018
1.5414e+09,2.8598e-06,21/10/2018
1.5414e+09,3.0123e-06,21/10/2018
1.5414e+09,2.7674e-06,21/10/2018
1.5414e+09,2.7271e-06,21/10/2018
1.5414e+09,2.9361e-06,21/10/2018
1.5414e+09,2.8694e-06,21/10/2018
1.5414e+09,2.7758e-06,21/10/2018
1.5414e+09,2.9938e-06,21/10/2018
1.5414e+09,2.8805e-06,21/10/2018
1.5414e+09,3.1053e-06,21/10/2018
1.5414e+09,2.7127e-06,21/10/2018
1.5414e+09,2.7936e-06,21/10/2018
1.5414e+09,2.8941e-06,21/10/2018
1.5414e+09,3.1871e-06,21/10/2018
1.5414e+09,3.0298e-06,21/10/2018
1.5414e+09,2.7467e-06,21/10/2018
1.5414e+09,2.7517e-06,21/10/2018
1.5414e+09,2.9215e-06,21/10/2018
1.5414e+09,3.1e-06,21/10/2018
1.5414e+09,2.8633e-06,21/10/2018
1.5414e+09,2.7889e-06,21/10/2018
1.5415e+09,2.6737e-06,21/10/2018
1.5415e+09,2.5937e-06,21/10/2018
1.5415e+09,2.8649e-06,21/10/2018
1.5415e+09,3.1942e-06,21/10/2018
1.5415e+09,2.9086e-06,21/10/2018
1.5415e+09,2.9234e-06,21/10/2018
1.5415e+09,2.8289e-06,21/10/2018
1.5415e+09,2.9613e-06,21/10/2018
1.5415e+09,2.9322e-06,21/10/2018
1.5415e+09,3.0784e-06,21/10/2018
1.5415e+09,2.7468e-06,21/10/2018
1.5415e+09,2.5529e-06,21/10/2018
1.5415e+09,2.8296e-06,21/10/2018
1.5415e+09,2.9136e-06,21/10/2018
1.5415e+09,2.8353e-06,21/10/2018
1.5415e+09,2.9801e-06,21/10/2018
1.5415e+09,3.0146e-06,21/10/2018
1.5415e+09,2.5995e-06,21/10/2018
1.5415e+09,2.541e-06,21/10/2018
1.5415e+09,2.7097e-06,21/10/2018
1.5415e+09,2.9112e-06,21/10/2018
1.5415e+09,2.9531e-06,21/10/2018
1.5415e+09,3.0334e-06,21/10/2018
1.5415e+09,2.8715e-06,21/10/2018
1.5415e+09,2.7302e-06,21/10/2018
1.5415e+09,2.7389e-06,21/10/2018
1.5415e+09,2.7188e-06,21/10/2018
1.5415e+09,2.9919e-06,21/10/2018
1.5415e+09,2.8528e-06,21/10/2018
1.5415e+09,2.9365e-06,21/10/2018
1.5415e+09,2.8872e-06,21/10/2018
1.5415e+09,2.938e-06,21/10/2018
1.5415e+09,2.5506e-06,21/10/2018
1.5415e+09,2.7495e-06,21/10/2018
1.5415e+09,2.7274e-06,21/10/2018
1.5416e+09,2.8532e-06,21/10/2018
1.5416e+09,2.8666e-06,21/10/2018
1.5416e+09,2.56e-06,21/10/2018
1.5416e+09,2.7991e-06,21/10/2018
1.5416e+09,2.5914e-06,21/10/2018
1.5416e+09,2.5497e-06,21/10/2018
1.5416e+09,2.7237e-06,21/10/2018
1.5416e+09,2.9836e-06,21/10/2018
1.5416e+09,2.4975e-06,21/10/2018
1.5416e+09,2.7037e-06,21/10/2018
1.5416e+09,2.9777e-06,21/10/2018
1.5416e+09,2.8962e-06,21/10/2018
1.5416e+09,2.6741e-06,21/10/2018
1.5416e+09,2.6542e-06,21/10/2018
1.5416e+09,2.6676e-06,21/10/2018
1.5416e+09,2.9568e-06,21/10/2018
1.5416e+09,2.8805e-06,21/10/2018
1.5416e+09,2.8599e-06,21/10/2018
