diffFlux,Energy,type
1.51990477e+20,2.522513,Total flux
1.50664146e+20,2.532519,Total flux
1.49307843e+20,2.542525,Total flux
1.47935389e+20,2.552531,Total flux
1.4670098e+20,2.562537,Total flux
1.45570731e+20,2.572543,Total flux
1.44400982e+20,2.582549,Total flux
1.43363021e+20,2.592555,Total flux
1.43455474e+20,2.602561,Total flux
1.8236115e+20,2.612567,Total flux
1.41528119e+20,2.622573,Total flux
1.39679402e+20,2.6325791,Total flux
1.38810412e+20,2.6425851,Total flux
1.38011605e+20,2.6525911,Total flux
1.37105582e+20,2.6625971,Total flux
1.36237071e+20,2.6726031,Total flux
1.35388876e+20,2.6826091,Total flux
1.34320904e+20,2.6926151,Total flux
1.33067896e+20,2.7026211,Total flux
1.32110026e+20,2.7126271,Total flux
1.31260471e+20,2.7226331,Total flux
1.30460171e+20,2.7326391,Total flux
1.29685196e+20,2.7426451,Total flux
1.28932803e+20,2.7526511,Total flux
1.28192375e+20,2.7626571,Total flux
1.274689e+20,2.7726631,Total flux
1.26752409e+20,2.7826691,Total flux
1.26039925e+20,2.7926751,Total flux
1.25334551e+20,2.8026811,Total flux
1.24635283e+20,2.8126871,Total flux
1.23945456e+20,2.8226931,Total flux
1.2324661e+20,2.8326991,Total flux
1.22550315e+20,2.8427051,Total flux
1.21900521e+20,2.8527111,Total flux
1.21302722e+20,2.8627171,Total flux
1.20714028e+20,2.8727231,Total flux
1.1993167e+20,2.8827292,Total flux
1.19125842e+20,2.8927352,Total flux
1.18352828e+20,2.9027412,Total flux
1.17602616e+20,2.9127472,Total flux
1.16875788e+20,2.9227532,Total flux
1.16173502e+20,2.9327592,Total flux
1.15470728e+20,2.9427652,Total flux
1.14769852e+20,2.9527712,Total flux
1.14079606e+20,2.9627772,Total flux
1.13404001e+20,2.9727832,Total flux
1.12749029e+20,2.9827892,Total flux
1.12117626e+20,2.9927952,Total flux
1.11517365e+20,3.0028012,Total flux
1.10949098e+20,3.0128072,Total flux
1.10423278e+20,3.0228132,Total flux
1.09943662e+20,3.0328192,Total flux
1.09517108e+20,3.0428252,Total flux
1.09137564e+20,3.0528312,Total flux
1.08780554e+20,3.0628372,Total flux
1.08518528e+20,3.0728432,Total flux
1.08478112e+20,3.0828492,Total flux
1.08840839e+20,3.0928552,Total flux
1.09890712e+20,3.1028612,Total flux
1.11761872e+20,3.1128672,Total flux
1.14397715e+20,3.1228732,Total flux
1.11316262e+20,3.1328793,Total flux
1.06437717e+20,3.1428853,Total flux
1.03869128e+20,3.1528913,Total flux
1.0218501e+20,3.1628973,Total flux
1.00904825e+20,3.1729033,Total flux
9.98406051e+19,3.1829093,Total flux
9.9401573e+19,3.1929153,Total flux
9.8536626e+19,3.2029213,Total flux
9.77300914e+19,3.2129273,Total flux
9.69702933e+19,3.2229333,Total flux
9.62607361e+19,3.2329393,Total flux
9.56153248e+19,3.2429453,Total flux
9.49239188e+19,3.2529513,Total flux
9.42384618e+19,3.2629573,Total flux
9.35689354e+19,3.2729633,Total flux
9.29029169e+19,3.2829693,Total flux
9.23074996e+19,3.2929753,Total flux
9.31947656e+19,3.3029813,Total flux
9.13782475e+19,3.3129873,Total flux
9.039563e+19,3.3229933,Total flux
8.97683167e+19,3.3329993,Total flux
8.91637062e+19,3.3430053,Total flux
8.85605062e+19,3.3530113,Total flux
8.79660041e+19,3.3630173,Total flux
8.73379136e+19,3.3730233,Total flux
8.6691881e+19,3.3830294,Total flux
8.60935854e+19,3.3930354,Total flux
8.55163247e+19,3.4030414,Total flux
8.49503916e+19,3.4130474,Total flux
8.43932947e+19,3.4230534,Total flux
8.38432545e+19,3.4330594,Total flux
8.3299854e+19,3.4430654,Total flux
8.27617815e+19,3.4530714,Total flux
8.22290159e+19,3.4630774,Total flux
8.16999012e+19,3.4730834,Total flux
8.11748525e+19,3.4830894,Total flux
8.06544856e+19,3.4930954,Total flux
8.01383697e+19,3.5031014,Total flux
7.96280327e+19,3.5131074,Total flux
7.91228279e+19,3.5231134,Total flux
7.86218876e+19,3.5331194,Total flux
7.81253911e+19,3.5431254,Total flux
7.7632488e+19,3.5531314,Total flux
7.71437709e+19,3.5631374,Total flux
7.6660373e+19,3.5731434,Total flux
7.61818758e+19,3.5831494,Total flux
7.57085025e+19,3.5931554,Total flux
7.52411001e+19,3.6031614,Total flux
7.47815157e+19,3.6131674,Total flux
7.43256847e+19,3.6231734,Total flux
7.38697414e+19,3.6331795,Total flux
7.34236893e+19,3.6431855,Total flux
7.29878231e+19,3.6531915,Total flux
7.25583683e+19,3.6631975,Total flux
7.21208524e+19,3.6732035,Total flux
7.16679953e+19,3.6832095,Total flux
7.12261092e+19,3.6932155,Total flux
7.07982228e+19,3.7032215,Total flux
7.03823336e+19,3.7132275,Total flux
6.99792917e+19,3.7232335,Total flux
6.9590968e+19,3.7332395,Total flux
6.92243998e+19,3.7432455,Total flux
6.88829543e+19,3.7532515,Total flux
6.85711151e+19,3.7632575,Total flux
6.8297485e+19,3.7732635,Total flux
6.80659119e+19,3.7832695,Total flux
6.78759149e+19,3.7932755,Total flux
6.77174963e+19,3.8032815,Total flux
6.7540267e+19,3.8132875,Total flux
6.73215529e+19,3.8232935,Total flux
6.72029391e+19,3.8332995,Total flux
6.73655286e+19,3.8433055,Total flux
6.80182416e+19,3.8533115,Total flux
6.95076174e+19,3.8633175,Total flux
7.23147431e+19,3.8733235,Total flux
7.58323316e+19,3.8833296,Total flux
6.90240477e+19,3.8933356,Total flux
6.58287047e+19,3.9033416,Total flux
6.41186731e+19,3.9133476,Total flux
6.29724722e+19,3.9233536,Total flux
6.2103147e+19,3.9333596,Total flux
6.13853712e+19,3.9433656,Total flux
6.07570724e+19,3.9533716,Total flux
6.01869799e+19,3.9633776,Total flux
5.96620183e+19,3.9733836,Total flux
5.91698014e+19,3.9833896,Total flux
5.86959553e+19,3.9933956,Total flux
5.82408103e+19,4.0034016,Total flux
