Energy[keV],EffectiveArea[cm²]
8.147,1.997
8.158,1.985
8.169,1.985
8.18,1.973
8.191,1.956
8.202,1.956
8.213,1.944
8.224,1.926
8.235,1.926
8.246,1.92
8.257,1.897
8.268,1.897
8.279,1.897
8.289,1.891
8.3,1.885
8.311,1.879
8.322,1.861
8.333,1.849
8.344,1.843
8.355,1.832
8.366,1.826
8.377,1.814
8.388,1.814
8.399,1.802
8.41,1.784
8.421,1.778
8.432,1.761
8.443,1.755
8.454,1.743
8.465,1.731
8.476,1.719
8.487,1.713
8.498,1.708
8.509,1.702
8.52,1.702
8.531,1.702
8.542,1.696
8.553,1.672
8.564,1.666
8.575,1.66
8.586,1.648
8.596,1.643
8.607,1.631
8.618,1.613
8.629,1.607
8.64,1.595
8.651,1.578
8.662,1.566
8.673,1.566
8.684,1.566
8.695,1.548
8.706,1.554
8.717,1.554
8.728,1.542
8.739,1.542
8.75,1.524
8.761,1.513
8.772,1.513
8.783,1.513
8.794,1.495
8.805,1.477
8.816,1.477
8.827,1.471
8.838,1.465
8.849,1.453
8.86,1.453
8.871,1.453
8.882,1.436
8.893,1.424
8.904,1.424
8.914,1.424
8.925,1.4
8.936,1.388
8.947,1.388
8.958,1.383
8.969,1.371
8.98,1.359
8.991,1.353
9.002,1.347
9.013,1.341
9.024,1.323
9.035,1.323
9.046,1.323
9.057,1.306
9.068,1.3
9.079,1.3
9.09,1.3
9.101,1.294
9.112,1.288
9.123,1.282
9.134,1.258
9.145,1.247
9.156,1.241
9.167,1.229
9.178,1.223
9.189,1.223
9.2,1.217
9.211,1.205
9.221,1.205
9.232,1.199
9.243,1.188
9.254,1.182
9.265,1.176
9.276,1.17
9.287,1.152
9.298,1.152
9.309,1.14
9.32,1.14
9.331,1.129
9.342,1.111
9.353,1.111
9.364,1.105
9.375,1.099
9.386,1.099
9.397,1.093
9.408,1.081
9.419,1.081
9.43,1.064
9.441,1.052
9.452,1.052
9.463,1.034
9.474,1.028
9.485,1.028
9.496,1.01
9.507,1.004
9.518,1.004
9.529,0.9926
9.539,0.9867
9.55,0.9867
9.561,0.9808
9.572,0.9749
9.583,0.969
9.594,0.9631
9.605,0.9572
9.616,0.9453
9.627,0.9453
9.638,0.9394
9.649,0.9217
9.66,0.9217
9.671,0.9158
9.682,0.9099
9.693,0.9099
9.704,0.904
9.715,0.8863
9.726,0.8863
9.737,0.8804
9.748,0.8685
9.759,0.8685
9.77,0.8626
9.781,0.8508
9.792,0.8508
9.803,0.8508
9.814,0.8449
9.825,0.8331
9.836,0.8272
9.846,0.8154
9.857,0.8095
9.868,0.8095
9.879,0.7976
9.89,0.7976
9.901,0.7799
9.912,0.7799
9.923,0.7799
9.934,0.7622
9.945,0.7681
9.956,0.7622
9.967,0.7563
9.978,0.7563
9.989,0.7504
10,0.7445
