diffFlux,Energy,type
5.65502977e+19,4.0134076,Total flux
5.6137185e+19,4.0234136,Total flux
5.5723461e+19,4.0334196,Total flux
5.53131303e+19,4.0434256,Total flux
5.49101236e+19,4.0534316,Total flux
5.45156659e+19,4.0634376,Total flux
5.42171625e+19,4.0734436,Total flux
5.53069548e+19,4.0834496,Total flux
5.34023121e+19,4.0934556,Total flux
5.30015035e+19,4.1034616,Total flux
5.26375639e+19,4.1134676,Total flux
5.22761583e+19,4.1234736,Total flux
5.19184135e+19,4.1334797,Total flux
5.15478464e+19,4.1434857,Total flux
5.11836694e+19,4.1534917,Total flux
5.08267585e+19,4.1634977,Total flux
5.04757486e+19,4.1735037,Total flux
5.01281179e+19,4.1835097,Total flux
4.9781343e+19,4.1935157,Total flux
4.94425383e+19,4.2035217,Total flux
4.91092854e+19,4.2135277,Total flux
4.87814966e+19,4.2235337,Total flux
4.84577292e+19,4.2335397,Total flux
4.81394894e+19,4.2435457,Total flux
4.78225313e+19,4.2535517,Total flux
4.75119454e+19,4.2635577,Total flux
4.72042382e+19,4.2735637,Total flux
4.69002333e+19,4.2835697,Total flux
4.65994395e+19,4.2935757,Total flux
4.63019498e+19,4.3035817,Total flux
4.60074319e+19,4.3135877,Total flux
4.5715177e+19,4.3235937,Total flux
4.54256088e+19,4.3335997,Total flux
4.5139307e+19,4.3436057,Total flux
4.48562206e+19,4.3536117,Total flux
4.45756178e+19,4.3636177,Total flux
4.42974461e+19,4.3736237,Total flux
4.40211853e+19,4.3836298,Total flux
4.37481429e+19,4.3936358,Total flux
4.34779431e+19,4.4036418,Total flux
4.32102688e+19,4.4136478,Total flux
4.29447203e+19,4.4236538,Total flux
4.26804262e+19,4.4336598,Total flux
4.24182666e+19,4.4436658,Total flux
4.21582638e+19,4.4536718,Total flux
4.19018803e+19,4.4636778,Total flux
4.16491441e+19,4.4736838,Total flux
4.13988224e+19,4.4836898,Total flux
4.11506082e+19,4.4936958,Total flux
4.09038929e+19,4.5037018,Total flux
4.06571498e+19,4.5137078,Total flux
4.04098355e+19,4.5237138,Total flux
4.0165505e+19,4.5337198,Total flux
3.99259729e+19,4.5437258,Total flux
3.96885474e+19,4.5537318,Total flux
3.94421164e+19,4.5637378,Total flux
3.91855106e+19,4.5737438,Total flux
3.89255868e+19,4.5837498,Total flux
3.86681079e+19,4.5937558,Total flux
3.84147573e+19,4.6037618,Total flux
3.81625414e+19,4.6137678,Total flux
3.79117348e+19,4.6237738,Total flux
3.76622768e+19,4.6337799,Total flux
3.74154055e+19,4.6437859,Total flux
3.71703462e+19,4.6537919,Total flux
3.69276646e+19,4.6637979,Total flux
3.66871313e+19,4.6738039,Total flux
3.6448728e+19,4.6838099,Total flux
3.62116072e+19,4.6938159,Total flux
3.59755849e+19,4.7038219,Total flux
3.57414707e+19,4.7138279,Total flux
3.55085166e+19,4.7238339,Total flux
3.52763474e+19,4.7338399,Total flux
3.50456667e+19,4.7438459,Total flux
3.48167175e+19,4.7538519,Total flux
3.4589509e+19,4.7638579,Total flux
3.43638759e+19,4.7738639,Total flux
3.41402614e+19,4.7838699,Total flux
3.39181358e+19,4.7938759,Total flux
3.36974573e+19,4.8038819,Total flux
3.34764049e+19,4.8138879,Total flux
3.32556053e+19,4.8238939,Total flux
3.30373673e+19,4.8338999,Total flux
3.28211957e+19,4.8439059,Total flux
3.26061993e+19,4.8539119,Total flux
3.23940765e+19,4.8639179,Total flux
3.21835413e+19,4.8739239,Total flux
3.19736016e+19,4.88393,Total flux
3.17638657e+19,4.893936,Total flux
3.15566092e+19,4.903942,Total flux
3.135105e+19,4.913948,Total flux
3.1146686e+19,4.923954,Total flux
3.09437959e+19,4.93396,Total flux
3.07425534e+19,4.943966,Total flux
3.05432428e+19,4.953972,Total flux
3.0345253e+19,4.963978,Total flux
3.01490011e+19,4.973984,Total flux
2.99537996e+19,4.98399,Total flux
2.97602684e+19,4.993996,Total flux
2.9567851e+19,5.004002,Total flux
2.93767631e+19,5.014008,Total flux
2.91874578e+19,5.024014,Total flux
2.89994703e+19,5.03402,Total flux
2.88127829e+19,5.044026,Total flux
2.86274183e+19,5.054032,Total flux
2.84432041e+19,5.064038,Total flux
2.82593013e+19,5.074044,Total flux
2.80776412e+19,5.08405,Total flux
2.78972844e+19,5.094056,Total flux
2.77182735e+19,5.104062,Total flux
2.75404981e+19,5.114068,Total flux
2.73640417e+19,5.124074,Total flux
2.71887679e+19,5.1340801,Total flux
2.7014599e+19,5.1440861,Total flux
2.68414518e+19,5.1540921,Total flux
2.66696485e+19,5.1640981,Total flux
2.64990475e+19,5.1741041,Total flux
2.63298655e+19,5.1841101,Total flux
2.61619292e+19,5.1941161,Total flux
2.59952807e+19,5.2041221,Total flux
2.5829978e+19,5.2141281,Total flux
2.56659476e+19,5.2241341,Total flux
2.55034252e+19,5.2341401,Total flux
2.53420562e+19,5.2441461,Total flux
2.51820136e+19,5.2541521,Total flux
2.50230047e+19,5.2641581,Total flux
2.4865156e+19,5.2741641,Total flux
2.47084819e+19,5.2841701,Total flux
2.45528904e+19,5.2941761,Total flux
2.43984713e+19,5.3041821,Total flux
2.4245119e+19,5.3141881,Total flux
2.40930042e+19,5.3241941,Total flux
2.39421096e+19,5.3342001,Total flux
2.37926438e+19,5.3442061,Total flux
2.36444108e+19,5.3542121,Total flux
2.34975474e+19,5.3642181,Total flux
2.33518985e+19,5.3742241,Total flux
2.32075628e+19,5.3842302,Total flux
2.30649199e+19,5.3942362,Total flux
2.29239955e+19,5.4042422,Total flux
2.27847174e+19,5.4142482,Total flux
2.26469362e+19,5.4242542,Total flux
2.2510347e+19,5.4342602,Total flux
2.2375239e+19,5.4442662,Total flux
2.22421516e+19,5.4542722,Total flux
2.21114724e+19,5.4642782,Total flux
2.19836053e+19,5.4742842,Total flux
2.18588728e+19,5.4842902,Total flux
2.17380462e+19,5.4942962,Total flux
2.1622031e+19,5.5043022,Total flux
2.15114703e+19,5.5143082,Total flux
2.14093293e+19,5.5243142,Total flux
2.13183504e+19,5.5343202,Total flux
2.12379654e+19,5.5443262,Total flux
2.11690532e+19,5.5543322,Total flux
2.11140162e+19,5.5643382,Total flux
