# Energy/eV     Transmission
# C3H6 Density=0.9 Thickness=10. microns
    9720.3      0.99811
    9740.3      0.99812
    9760.2      0.99813
    9780.2      0.99814
    9800.2      0.99815
    9820.2      0.99816
    9840.2      0.99817
    9860.1      0.99819
    9880.1      0.99820
    9900.1      0.99821
    9920.1      0.99822
    9940.1      0.99823
    9960.0      0.99824
    9980.0      0.99825
    10000.      0.99826
