 Date__(UT)__HR:MN     R.A._(ICRF/J2000.0)_DEC  APmag  S-brt Ob-lon Ob-lat    S-O-T /r    S-T-O     PlAng
*********************************************************************************************************
 2014-Oct-17 23:00   13 29 58.26 -09 25 05.6 -26.75 -10.59 320.93   5.67   0.0000 /?   0.0000      n.a.
 2014-Oct-18 00:00   13 30 07.73 -09 26 00.3 -26.75 -10.59 320.38   5.66   0.0000 /?   0.0000      n.a.
 2014-Oct-18 01:00   13 30 17.19 -09 26 55.1 -26.75 -10.59 319.83   5.66   0.0000 /?   0.0000      n.a.
 2014-Oct-18 02:00   13 30 26.64 -09 27 49.9 -26.75 -10.59 319.28   5.66   0.0000 /?   0.0000      n.a.
 2014-Oct-18 03:00   13 30 36.08 -09 28 44.8 -26.75 -10.59 318.73   5.65   0.0000 /?   0.0000      n.a.
 2014-Oct-18 04:00   13 30 45.49 -09 29 39.6 -26.75 -10.59 318.18   5.65   0.0000 /?   0.0000      n.a.
 2014-Oct-18 05:00   13 30 54.87 -09 30 34.5 -26.75 -10.59 317.63   5.65   0.0000 /?   0.0000      n.a.
 2014-Oct-18 06:00   13 31 04.23 -09 31 29.4 -26.75 -10.59 317.08   5.64   0.0000 /?   0.0000      n.a.
 2014-Oct-18 07:00   13 31 13.57 -09 32 24.3 -26.75 -10.59 316.53   5.64   0.0000 /?   0.0000      n.a.
 2014-Oct-18 08:00   13 31 22.88 -09 33 19.1 -26.75 -10.59 315.98   5.64   0.0000 /?   0.0000      n.a.
 2014-Oct-18 09:00   13 31 32.17 -09 34 13.9 -26.75 -10.59 315.43   5.64   0.0000 /?   0.0000      n.a.
 2014-Oct-18 10:00   13 31 41.44 -09 35 08.5 -26.75 -10.59 314.88   5.63   0.0000 /?   0.0000      n.a.
 2014-Oct-18 11:00   13 31 50.70 -09 36 03.2 -26.75 -10.59 314.33   5.63   0.0000 /?   0.0000      n.a.
 2014-Oct-18 12:00   13 31 59.97 -09 36 57.7 -26.75 -10.59 313.78   5.63   0.0000 /?   0.0000      n.a.
 2014-Oct-18 13:00   13 32 09.24 -09 37 52.1 -26.75 -10.59 313.23   5.62   0.0000 /?   0.0000      n.a.
 2014-Oct-18 14:00   13 32 18.52 -09 38 46.5 -26.75 -10.59 312.68   5.62   0.0000 /?   0.0000      n.a.
 2014-Oct-18 15:00   13 32 27.82 -09 39 40.8 -26.75 -10.59 312.14   5.62   0.0000 /?   0.0000      n.a.
 2014-Oct-18 16:00   13 32 37.14 -09 40 35.0 -26.75 -10.59 311.59   5.61   0.0000 /?   0.0000      n.a.
 2014-Oct-18 17:00   13 32 46.50 -09 41 29.2 -26.75 -10.59 311.04   5.61   0.0000 /?   0.0000      n.a.
 2014-Oct-18 18:00   13 32 55.88 -09 42 23.4 -26.75 -10.59 310.49   5.61   0.0000 /?   0.0000      n.a.
 2014-Oct-18 19:00   13 33 05.29 -09 43 17.6 -26.75 -10.59 309.94   5.60   0.0000 /?   0.0000      n.a.
 2014-Oct-18 20:00   13 33 14.73 -09 44 11.8 -26.75 -10.59 309.39   5.60   0.0000 /?   0.0000      n.a.
 2014-Oct-18 21:00   13 33 24.19 -09 45 06.0 -26.75 -10.59 308.84   5.60   0.0000 /?   0.0000      n.a.
 2014-Oct-18 22:00   13 33 33.66 -09 46 00.2 -26.75 -10.59 308.29   5.59   0.0000 /?   0.0000      n.a.
 2014-Oct-18 23:00   13 33 43.15 -09 46 54.5 -26.75 -10.59 307.74   5.59   0.0000 /?   0.0000      n.a.
 2014-Oct-19 00:00   13 33 52.64 -09 47 48.9 -26.75 -10.59 307.19   5.59   0.0000 /?   0.0000      n.a.
 2014-Oct-19 01:00   13 34 02.13 -09 48 43.3 -26.75 -10.59 306.64   5.58   0.0000 /?   0.0000      n.a.
 2014-Oct-19 02:00   13 34 11.61 -09 49 37.8 -26.75 -10.59 306.09   5.58   0.0000 /?   0.0000      n.a.
 2014-Oct-19 03:00   13 34 21.07 -09 50 32.3 -26.75 -10.59 305.54   5.57   0.0000 /?   0.0000      n.a.
 2014-Oct-19 04:00   13 34 30.51 -09 51 26.9 -26.75 -10.59 304.99   5.57   0.0000 /?   0.0000      n.a.
 2014-Oct-19 05:00   13 34 39.92 -09 52 21.4 -26.75 -10.59 304.44   5.57   0.0000 /?   0.0000      n.a.
 2014-Oct-19 06:00   13 34 49.31 -09 53 16.0 -26.75 -10.59 303.89   5.56   0.0000 /?   0.0000      n.a.
 2014-Oct-19 07:00   13 34 58.67 -09 54 10.5 -26.75 -10.59 303.34   5.56   0.0000 /?   0.0000      n.a.
 2014-Oct-19 08:00   13 35 08.00 -09 55 05.0 -26.75 -10.59 302.79   5.56   0.0000 /?   0.0000      n.a.
 2014-Oct-19 09:00   13 35 17.32 -09 55 59.4 -26.75 -10.59 302.24   5.56   0.0000 /?   0.0000      n.a.
 2014-Oct-19 10:00   13 35 26.62 -09 56 53.7 -26.75 -10.59 301.70   5.55   0.0000 /?   0.0000      n.a.
 2014-Oct-19 11:00   13 35 35.91 -09 57 48.0 -26.75 -10.59 301.15   5.55   0.0000 /?   0.0000      n.a.
 2014-Oct-19 12:00   13 35 45.20 -09 58 42.2 -26.75 -10.59 300.60   5.55   0.0000 /?   0.0000      n.a.
 2014-Oct-19 13:00   13 35 54.49 -09 59 36.2 -26.75 -10.59 300.05   5.54   0.0000 /?   0.0000      n.a.
 2014-Oct-19 14:00   13 36 03.80 -10 00 30.3 -26.75 -10.59 299.50   5.54   0.0000 /?   0.0000      n.a.
 2014-Oct-19 15:00   13 36 13.13 -10 01 24.2 -26.75 -10.59 298.95   5.54   0.0000 /?   0.0000      n.a.
 2014-Oct-19 16:00   13 36 22.48 -10 02 18.1 -26.75 -10.59 298.40   5.53   0.0000 /?   0.0000      n.a.
 2014-Oct-19 17:00   13 36 31.86 -10 03 11.9 -26.75 -10.59 297.85   5.53   0.0000 /?   0.0000      n.a.
 2014-Oct-19 18:00   13 36 41.27 -10 04 05.7 -26.75 -10.59 297.30   5.53   0.0000 /?   0.0000      n.a.
 2014-Oct-19 19:00   13 36 50.70 -10 04 59.5 -26.75 -10.59 296.75   5.52   0.0000 /?   0.0000      n.a.
 2014-Oct-19 20:00   13 37 00.17 -10 05 53.3 -26.75 -10.59 296.20   5.52   0.0000 /?   0.0000      n.a.
